date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-08-08,1000000.0,1000000.0,0.0,1.0,1000000.0,
2026-08-11,999027.26,551105.59,0.0,1.0,999027.26,-0.0009727400000000275
2026-08-12,1004808.47,571794.71,0.0,1.0,1004808.47,0.005786839089856333
2026-08-13,1004641.3,945597.96,0.0,1.0,1004641.3,-0.0001663700147749303
2026-08-14,1005267.8,945528.28,0.0,1.0,1005267.8,0.0006236056590547268
2026-08-17,1005839.83,945760.39,0.0,1.0,1005839.83,0.0005690324508553779
2026-08-18,1005802.65,945898.94,0.0,1.0,1005802.65,-3.696413573117674e-05
2026-08-19,1006059.04,927993.47,0.0,1.0,1006059.04,0.000254910841605005
2026-08-20,1005542.56,910711.12,0.0,1.0,1005542.56,-0.0005133694738232997
2026-08-21,1005643.94,945011.91,0.0,1.0,1005643.94,0.00010082119249132937
2026-08-24,1006281.09,945364.74,0.0,1.0,1006281.09,0.000633574145536997
2026-08-25,1005143.38,560769.39,0.0,1.0,1005143.38,-0.001130608545967915
2026-08-26,1005395.59,980755.7,0.0,1.0,1005395.59,0.0002509194260424952
2026-08-27,1005378.15,980812.33,0.0,1.0,1005378.15,-1.7346405905671602e-05
