date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-08-13,100000.0,100000.0,0.0,1.0,100000.0,
2026-08-14,100022.78,80337.2,0.0,1.0,100022.78,0.00022780000000000022
2026-08-17,100084.73,80337.19,0.0,1.0,100084.73,0.0006193589100402797
2026-08-18,99918.66,71366.24,0.0,1.0,99918.66,-0.0016592940801258838
2026-08-19,100063.53,64317.99,0.0,1.0,100063.53,0.0014498793318484804
2026-08-20,99896.95,58563.31,0.0,1.0,99896.95,-0.0016647423891601454
2026-08-21,100189.85,71418.7,0.0,1.0,100189.85,0.00293202144810234
2026-08-24,100195.19,71392.08,0.0,1.0,100195.19,5.3298812205060386e-05
2026-08-25,100379.72,71460.65,0.0,1.0,100379.72,0.0018417051756676184
2026-08-26,100685.34,84849.93,0.0,1.0,100685.34,0.0030446388971796523
2026-08-27,100918.23,84827.21,0.0,1.0,100918.23,0.0023130477584918374
